,date,top_0
299,2016-05-14,childish personal attacks are damaging the bitcoin industry    
300,2016-05-15,bitcoin is  459   ethereum is  10  check them all with   io s great price app     
301,2016-05-16,is bitcoin a true anti war currency     
302,2016-05-17,denmark s ccedk to cease trading  reopen as finance incubator    
303,2016-05-18,swift hacked again  are centralized networks failing     
304,2016-05-19,good samaritan hacker  johoe  to develop new trezor for satoshilabs    
305,2016-05-20, decentralized uber  arcade city   we will submit a dao proposal     
306,2016-05-21,this guy lost  67 000 in bitcoin when he upgraded his computer    
307,2016-05-22,new experiment allows you to play monopoly on the blockchain    
308,2016-05-23,peter todd distances himself from bitcoin foundation politics    
309,2016-05-24,overstock  bitcoin s in our dna  rumors  erroneous     
310,2016-05-25,the q1 state of bitcoin 2016 is positive    
311,2016-05-26,bitland  blockchain land registry against  corrupt government     
312,2016-05-27,bitlicense strikes again  monetago shuts down    
313,2016-05-28,prescrypt brings medical prescriptions to the blockchain    
314,2016-05-29, guinea pig  money laundering case may decide bitcoin s legal status    
315,2016-05-30,bitcoin s appeal rises as chinese wallet apps will now check id    
316,2016-05-31,no license for paypal in turkey  45  say bitcoin  the future     
317,2016-06-01,blockstack to help microsoft develop a global id platform    
318,2016-06-02,decentralized crowdfunder waves launches following  16m ico    
319,2016-06-03,bitfinex   business as usual  following  75k us fine    
320,2016-06-04,new fintech australia ceo pursues future of blockchain    
321,2016-06-05,bitcoin bonus program gets ukrainians interested in crypto    
322,2016-06-06,richard stallman s gnu releases  unlike bitcoin  electronic payments    
323,2016-06-07,bitcoin foundation has a few months left  recent gift not enough    
324,2016-06-08,dennis gartman calls bitcoin the  millennial answer to gold     
325,2016-06-09,city of austin fails to shut down arcade city app launch event    
326,2016-06-10,circle favors more regulation for bitcoin  amp  fintech    
327,2016-06-11,21 inc open sources bitcoin computer software library    
328,2016-06-12,walmart drops visa  proving the potential of bitcoin s low fees    
329,2016-06-13,bankers lie about disruption  don t understand technology    
330,2016-06-14,pwc to study blockchain technology for wholesale insurance    
331,2016-06-15,eu s biggest insurer allianz successfully tests smart contracts    
332,2016-06-16,asia poised to explode with fintech  blockchain growth    
333,2016-06-17,don tapscott  almost  gets the bitcoin revolution    
334,2016-06-18,central banks indirectly shape bitcoin disruption with bad policy    
335,2016-06-19,blockchain is the next line of defense for cyber security    
336,2016-06-20,ethereum miners back buterin s soft fork    
337,2016-06-21,euroclear announces new blockchain based gold settlement    
338,2016-06-22,latest bitcoin price is  621 89 usd    
339,2016-06-23,new fcc rules could block your e wallet    
340,2016-06-24,meet bewp  the bitcoin enabled wifi portal    
341,2016-06-25,gold surges  bitcoin holds strong in brexit aftermath    
342,2016-06-26,unconfirmed transactions  support  amp  open dialogue    
343,2016-06-27,bitcoin is not a safe haven and that s ok    
344,2016-06-28,time for russia  to ban bans  says putin business advisor    
345,2016-06-29,princeton university unveils new bitcoin texbook    
346,2016-06-30,otc trading  an inside look at how whales move bitcoin    
347,2016-07-01,terminator rumors of miner mutiny make  corexit  a trending topic    
348,2016-07-02,crooked agent caught again  lyn ulbricht speaks out    
349,2016-07-03,latest bitcoin price is  676 12 usd    
350,2016-07-04,tech consultant giant  blockchain  integral to mid east digital economy     
351,2016-07-05,netki raises  3 5 million to  humanize  bitcoin    
352,2016-07-06,dci event encourages gender  racial diversity in blockchain space    
353,2016-07-07,bitcoin startup among first finalists in new paypal incubator    
354,2016-07-08,bitfury introduces  flare  routing solution for lightning network    
355,2016-07-09,the bitcoin halving is upon us  excitement at all time highs    
356,2016-07-10,latest bitcoin price is  646 01 usd    
357,2016-07-11,blockchain innovation announces the release of the simple  fast  and secure bitteller atm    
358,2016-07-12,storj  amp  counterparty testing instant micropayments channel    
359,2016-07-13,we wonder if             amp    already knew about this  
360,2016-07-14,the inside scoop on mark karpeles japanese prison release    
361,2016-07-15,professor to sec  bitcoin funds  like a penny stock or ponzi     
362,2016-07-16,ethereum s hard fork is a lesson for the bitcoin community    
363,2016-07-17,bitcrystals price soars as spells of genesis nears launch    
364,2016-07-18,india s law enforcement probes dark net markets    
365,2016-07-19,  podcast  simon dixon talks p2p lending    
366,2016-07-20,bank of england  digital currency can raise gdp  by almost 3      
367,2016-07-21,blockchain in finance and management fields  fintech and govtech cases at blockchain     
368,2016-07-22, 100m  blockchain fund  launched to fast track smaller eu banks    
369,2016-07-23,civic s  1 million identity fraud protection    
370,2016-07-24,ethereum hard fork gives birth to a new  classic  coin    
371,2016-07-25,david seaman  ethereum classic  little more than troll vaporware     
372,2016-07-26,will donald trump s trade policies cause bitcoin to soar     
373,2016-07-27,bitcoin  whales  vote in favor of larger tx blocks    
374,2016-07-28,bitcoin is the ideal portfolio asset    
375,2016-07-29,why  glockchain  could hold police accountable  curb violence    
376,2016-07-30,berlin s jolocom takes iot data sharing to the masses    
377,2016-07-31,ledger nano s review  can this  65 device top trezor     
378,2016-08-01,what does jewish traditional law think of bitcoin     
379,2016-08-02,14nm chips will  re decentralize  mining  says antonopoulos    
380,2016-08-03,fintech is destabilizing finance  former bank head warns    
381,2016-08-04,bitcoin price rebounds as bitfinex licks wounds    
382,2016-08-05,infamous crypto scammer ryan kennedy is now a convicted rapist    
383,2016-08-06,is bitcoin ready for the next global financial crisis     
384,2016-08-07,here s why bitfinex is not like mtgox    
385,2016-08-08,president trump would stop new financial regulation in the us    
386,2016-08-09,btc foundation calls to halt  california bitlicense  onslaught    
387,2016-08-10,a  99 trezor could have prevented the  70m bitfinex theft    
388,2016-08-11,barry silbert used  biased  strategy to pump etc  says reporter    
389,2016-08-12,purse releases open source wallet code for  philosophical reasons     
390,2016-08-13,polls  iceland s pro bitcoin pirate party to take power    
391,2016-08-14,the wealthiest serving congressman just bought his first bitcoin    
392,2016-08-15,denver hosts 2nd annual crypto cannabis conference    
393,2016-08-16,tether launches  euro coin  trading on the bitcoin blockchain    
394,2016-08-17,california  bitlicense  dropped for now    
395,2016-08-18,japan risks falling behind amid blockchain talent shortage    
396,2016-08-19,trumpcoin is real  but will it make crypto great again     
397,2016-08-20, bitcoin unlimited  reveals  500k donation  formal us registration    
398,2016-08-21,the  bitcoin family  one year later    
399,2016-08-22,is the nsa baiting the shadow brokers with seized bitcoin     
400,2016-08-23,  price watch  bulls about to charge     
401,2016-08-24,kazakhstan warms towards bitcoin as local currency freefalls    
402,2016-08-25,legal identity for all  can bitcoin s blockchain rise to the challenge     
403,2016-08-26,is facebook about to get  myspaced  by next gen social media     
404,2016-08-27,bitmain s r4 to bring an in home experience to bitcoin mining    
405,2016-08-28,fed explores radical new financial engineering tools    
406,2016-08-29,  is leading the way in cryptocurrency gambling    
407,2016-08-30,bitcoin is the fuel we need for the industrial internet of things    
408,2016-08-31,swift to expose bank security flaws following new hacks    
409,2016-09-01,brave browser finally unleashes bitcoin micropayments    
410,2016-09-02,russia s innopolis city to host first blockchain hackathon    
411,2016-09-03,overcoming blockchain implementation challenges    
412,2016-09-04,the world s 6th biggest mining pool tests bitcoin unlimited    
413,2016-09-05,fbi s deep web child porn ring questions role of gov t in society    
414,2016-09-06,blockchain will transform the agriculture industry    
415,2016-09-07,spells of genesis  on the cusp of mainstream success     
416,2016-09-08,  launches bitcoin games  provably fair  high stakes    
417,2016-09-09,wanda group joins hyperledger to create new blockchain standards    
418,2016-09-10,malware alert  hackers stealing computing power to mine monero    
419,2016-09-11,accenture exec says bitcoin immutability is a flaw  not a virtue    
420,2016-09-12,straits financial accepts bitcoin payments for us futures    
421,2016-09-13,pwc  blockchains could save reinsurance industry  10 billion    
422,2016-09-14,facebook allows in app payments to messenger chat bots    
423,2016-09-15,kpmg collaborates with microsoft to offer blockchain services    
424,2016-09-16,self driving cars don t need uber  they need digital cash    
425,2016-09-17,openbazaar 2 0 now running tor network    
426,2016-09-18,zcoin launching soon  promises full  untraceable anonymity    
427,2016-09-19,ibm tests smart contract prototype with mitsubishi ufj    
428,2016-09-20, facebook killer  synereo raises  2m in first six hours of crowdsale    
429,2016-09-21,microsoft unveils roadmap for  bletchley  blockchain project    
430,2016-09-22,bitcoin  a legitimate cure for a broken money system    
431,2016-09-23,sberbank ceo warns russian gov t  hands off the blockchain     
432,2016-09-24,chicago students get free btc for educational purposes    
433,2016-09-25,a decentralized world has no kings    
434,2016-09-26,paraleln  polis preps for this year s hackers congress    
435,2016-09-27,kenya bank stops m pesa loans following legislation update    
436,2016-09-28,andresen  ethereum won t replace bitcoin  but it s more decentralized    
437,2016-09-29,spain wants to tax bitcoin miners 47     
438,2016-09-30,ibm  65  of world s major banks to use blockchain by 2019    
439,2016-10-01,power of the meme  how bitcoin breaks the snail pace of tech innovation    
440,2016-10-02,ico fever  how crowdsales are taking over cryptocurrency    
441,2016-10-03,bitcoin liberation  reject the plastic card and embrace innovation    
442,2016-10-04,russia  south africa join to develop blockchain tech    
443,2016-10-05,dutch real estate firm  blandlord  to sell property with bitcoin blockchain    
444,2016-10-06,china s bitcoin capital flight ramps up as fintech innovation progresses    
445,2016-10-07,polish gov t  highly interested  in bitcoin  meets with local community    
